Country_code_9_digit,Country_code,Country_name,Region_code_9_digit,Region_code,Region_name,LAD_code_9_digit,LAD_code,LAD_name,IDACI_decile,Rurality,A1A4den_15,KS4_LEVEL2_15,KS4_LEVEL2_EM_15,KS4_LEVEL1_15,KS4_LEVEL1_EM_15,KS4_L2BASICS_15,KS4_EBACC_E_15,KS4_EBACC_15,,,,
E92000001,921,England,E12000002,B,North West,,,,40-50%,Rural,470,290,249,446,437,264,162,96,,,,
E92000001,921,England,E12000002,B,North West,,,,50-60%,Urban,4911,3477,2943,4687,4567,3044,1942,1229,,,,
E92000001,921,England,E12000002,B,North West,,,,50-60%,Rural,738,524,447,702,695,463,297,198,,,,
E92000001,921,England,E12000002,B,North West,,,,60-70%,Urban,4848,3614,3083,4665,4565,3164,2053,1363,,,,
E92000001,921,England,E12000002,B,North West,,,,60-70%,Rural,1022,725,632,973,960,657,467,307,,,,
E92000001,921,England,E12000002,B,North West,,,,70-80%,Urban,5166,3984,3486,4996,4905,3565,2349,1676,,,,
E92000001,921,England,E12000002,B,North West,,,,70-80%,Rural,1352,1033,916,1312,1299,937,607,405,,,,
E92000001,921,England,E12000002,B,North West,,,,80-90%,Urban,5870,4721,4216,5730,5660,4309,2883,2028,,,,
E92000001,921,England,E12000002,B,North West,,,,80-90%,Rural,1913,1547,1398,1864,1841,1435,930,652,,,,
E92000001,921,England,E12000002,B,North West,,,,90-100% least deprived,Urban,7044,5901,5382,6894,6816,5466,3880,2860,,,,
E92000001,921,England,E12000002,B,North West,,,,90-100% least deprived,Rural,1526,1279,1179,1499,1491,1202,830,619,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,,,56428,36128,31221,52849,51414,32488,19950,12200,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,0-10% most deprived,,6522,2958,2388,5730,5396,2552,1330,625,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,10-20%,,7293,3587,2924,6528,6213,3114,1700,842,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,20-30%,,5916,3208,2676,5419,5229,2830,1482,798,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,30-40%,,5360,3179,2699,4974,4825,2827,1715,913,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,40-50%,,5038,3218,2766,4739,4638,2900,1748,1014,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,50-60%,,4773,3242,2815,4551,4442,2932,1746,1020,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,60-70%,,5250,3753,3309,5038,4954,3426,2166,1383,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,70-80%,,5075,3938,3473,4937,4880,3570,2250,1486,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,80-90%,,5596,4396,3934,5450,5406,4024,2714,1871,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,90-100% least deprived,,5605,4649,4237,5483,5431,4313,3099,2248,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,,Urban - Major conurbation,19024,11776,10205,17669,17067,10613,6591,3987,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,,Urban - Minor conurbation,11666,7144,6066,10817,10489,6324,3694,2121,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,,Urban - City and town,16107,10248,8833,15112,14729,9221,5779,3465,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,,Rural areas - town and fringe,5796,4062,3548,5544,5461,3689,2182,1425,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,,Rural areas - village,2569,1899,1674,2476,2451,1723,1144,802,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,,Rural areas - hamlet & isolated dwelling,1266,999,895,1231,1217,918,560,400,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,0-10% most deprived,Urban,6478,2933,2366,x,x,2530,1317,621,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,0-10% most deprived,Rural,44,25,22,x,x,22,13,4,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,10-20%,Urban,7074,3482,2841,6331,6021,3023,1663,819,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,10-20%,Rural,219,105,83,197,192,91,37,23,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,20-30%,Urban,5411,2921,2438,4947,4765,2581,1363,739,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,20-30%,Rural,505,287,238,472,464,249,119,59,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,30-40%,Urban,5042,2989,2538,4680,4539,2654,1620,852,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,30-40%,Rural,318,190,161,294,286,173,95,61,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,40-50%,Urban,4097,2598,2229,x,x,2339,1446,812,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,40-50%,Rural,941,620,537,x,x,561,302,202,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,50-60%,Urban,x,x,x,x,x,x,x,x,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,50-60%,Rural,x,x,x,x,x,x,x,x,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,60-70%,Urban,3607,2572,2262,3460,3397,2333,1512,953,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,60-70%,Rural,1643,1181,1047,1578,1557,1093,654,430,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,70-80%,Urban,3193,2479,2191,3107,3067,2249,1421,926,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,70-80%,Rural,1882,1459,1282,1830,1813,1321,829,560,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,80-90%,Urban,3933,3113,2796,3836,3804,2864,1959,1340,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,80-90%,Rural,1663,1283,1138,1614,1602,1160,755,531,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,90-100% least deprived,Urban,4235,3531,3229,4143,4105,3281,2390,1719,,,,
E92000001,921,England,E12000003,D,Yorkshire and the Humber,,,,90-100% least deprived,Rural,1370,1118,1008,1340,1326,1032,709,529,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,,,48903,30812,26511,45996,44770,27771,17442,10257,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,0-10% most deprived,,4070,1729,1404,3541,3384,1540,900,363,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,10-20%,,4589,2117,1744,4129,3966,1900,1133,489,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,20-30%,,4446,2287,1922,4067,3919,2053,1292,623,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,30-40%,,4604,2623,2229,4260,4141,2353,1487,752,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,40-50%,,5086,3075,2628,4823,4675,2779,1745,952,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,50-60%,,4780,3122,2642,4538,4421,2773,1724,1007,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,60-70%,,4984,3420,2951,4769,4664,3071,1909,1204,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,70-80%,,5945,4323,3800,5740,5630,3924,2535,1679,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,80-90%,,5957,4573,4011,5787,5690,4113,2637,1735,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,90-100% least deprived,,4442,3543,3180,4342,4280,3265,2080,1453,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,,Urban - Major conurbation,352,252,207,338,329,211,80,54,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,,Urban - Minor conurbation,7904,4741,4180,7335,7159,4412,2708,1609,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,,Urban - City and town,27513,16628,14244,25715,25057,15000,9107,5099,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,,Rural areas - town and fringe,7560,5145,4356,7234,6999,4519,3038,1828,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,,Rural areas - village,4195,3074,2685,4050,3940,2765,1901,1276,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,,Rural areas - hamlet & isolated dwelling,1379,972,839,1324,1286,864,608,391,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,0-10% most deprived,Urban,3987,1692,1371,3469,3314,1505,883,353,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,0-10% most deprived,Rural,83,37,33,72,70,35,17,10,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,10-20%,Urban,4366,2013,1659,3926,3777,1810,1077,462,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,10-20%,Rural,223,104,85,203,189,90,56,27,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,20-30%,Urban,4008,2045,1730,3658,3532,1853,1142,556,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,20-30%,Rural,438,242,192,409,387,200,150,67,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,30-40%,Urban,3685,2111,1806,3411,3326,1905,1155,603,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,30-40%,Rural,919,512,423,849,815,448,332,149,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,40-50%,Urban,3682,2196,1873,3487,3397,1987,1185,638,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,40-50%,Rural,1404,879,755,1336,1278,792,560,314,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,50-60%,Urban,3088,1997,1694,2911,2844,1789,1067,593,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,50-60%,Rural,1692,1125,948,1627,1577,984,657,414,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,60-70%,Urban,3022,2058,1804,2884,2827,1886,1109,668,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,60-70%,Rural,1962,1362,1147,1885,1837,1185,800,536,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,70-80%,Urban,3580,2576,2275,3445,3390,2342,1475,994,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,70-80%,Rural,2365,1747,1525,2295,2240,1582,1060,685,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,80-90%,Urban,3492,2643,2334,3397,3355,2398,1479,941,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,80-90%,Rural,2465,1930,1677,2390,2335,1715,1158,794,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,90-100% least deprived,Urban,2859,2290,2085,2800,2783,2148,1323,954,,,,
E92000001,921,England,E12000004,E,East Midlands,,,,90-100% least deprived,Rural,1583,1253,1095,1542,1497,1117,757,499,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,,,61219,39442,33694,57809,56087,34987,22030,13539,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,0-10% most deprived,,9624,4971,3972,8792,8367,4195,2752,1374,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,10-20%,,8371,4441,3630,7685,7351,3852,2279,1200,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,20-30%,,6281,3475,2885,5814,5603,3040,1792,939,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,30-40%,,5517,3292,2758,5183,4995,2887,1739,1007,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,40-50%,,5434,3557,3015,5175,5032,3151,2017,1240,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,50-60%,,5491,3781,3279,5237,5122,3397,2076,1324,,,,
E92000001,921,England,E12000005,F,West Midlands,,,,60-70%,,5270,3862,3381,5087,5001,3485,2179,1426,,,,
